anio,mes,fecha_descarga,distrito_fiscal,ubicacion_especialidad,cargo,condicion,sexo,total,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
2025,12,09/01/2026,ANCASH,PENAL,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),FEMENINO,4,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),MASCULINO,2,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL PROVINCIAL,TITULAR,FEMENINO,8,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL PROVINCIAL,TITULAR,MASCULINO,33,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL SUPERIOR,TITULAR,FEMENINO,2,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL SUPERIOR,TITULAR,MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PREVENCION DEL DELITO,FISCAL ADJUNTO PROVINCIAL,TITULAR,FEMENINO,2,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PREVENCION DEL DELITO,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PREVENCION DEL DELITO,FISCAL PROVINCIAL,TITULAR,MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,12,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,4,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,FISCAL PROVINCIAL,PROVISIONAL,MASCULINO,3,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),FEMENINO,4,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,DERECHOS HUMANOS Y CONTRA EL TERRORISMO,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,2,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
